Title	Wikipedia Link	IMDB Link	IMDB ID	Mismatched IMDB	Rotten Tomatoes Link	Mismatched Rotten Tomatoes	Metacritic Link	Mismatched Metacritic	Box Office Mojo Link
Diablo	https://en.wikipedia.org/wiki/Diablo_(2015_film)	http://www.imdb.com/title/tt4076760/	tt4076760	False	http://www.rottentomatoes.com/m/diablo_2016	False	http://www.metacritic.com/movie/diablo	False	https://www.boxofficemojo.com/title/tt4076760/
The Forest	https://en.wikipedia.org/wiki/The_Forest_(2016_film)	http://www.imdb.com/title/tt3387542/	tt3387542	False	http://www.rottentomatoes.com/m/the_forest_2016	False	http://www.metacritic.com/movie/the-forest	False	https://www.boxofficemojo.com/title/tt3387542/
The Masked Saint	https://en.wikipedia.org/wiki/The_Masked_Saint	http://www.imdb.com/title/tt3103166/	tt3103166	False	http://www.rottentomatoes.com/m/the_masked_saint	False	http://www.metacritic.com/movie/the-masked-saint	False	https://www.boxofficemojo.com/title/tt3103166/
13 Hours: The Secret Soldiers of Benghazi	https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi	http://www.imdb.com/title/tt4172430/	tt4172430	False	http://www.rottentomatoes.com/m/13_hours_the_secret_soldiers_of_benghazi	False	http://www.metacritic.com/movie/13-hours-the-secret-soldiers-of-benghazi	False	https://www.boxofficemojo.com/title/tt4172430/
Norm of the North	https://en.wikipedia.org/wiki/Norm_of_the_North	http://www.imdb.com/title/tt1594972/	tt1594972	False	http://www.rottentomatoes.com/m/norm_of_the_north	False	http://www.metacritic.com/movie/norm-of-the-north	False	https://www.boxofficemojo.com/title/tt1594972/
Ride Along 2	https://en.wikipedia.org/wiki/Ride_Along_2	http://www.imdb.com/title/tt2869728/	tt2869728	False	http://www.rottentomatoes.com/m/ride_along_2	False	http://www.metacritic.com/movie/ride-along-2	False	https://www.boxofficemojo.com/title/tt2869728/
Kung Fu Panda 3	https://en.wikipedia.org/wiki/Kung_Fu_Panda_3	http://www.imdb.com/title/tt2267968/	tt2267968	False	http://www.rottentomatoes.com/m/kung_fu_panda_3	False	http://www.metacritic.com/movie/kung-fu-panda-3	False	https://www.boxofficemojo.com/title/tt2267968/
The 5th Wave	https://en.wikipedia.org/wiki/The_5th_Wave_(film)	http://www.imdb.com/title/tt2304933/	tt2304933	False	http://www.rottentomatoes.com/m/the_fifth_wave	False	http://www.metacritic.com/movie/the-5th-wave	False	https://www.boxofficemojo.com/title/tt2304933/
The Boy	https://en.wikipedia.org/wiki/The_Boy_(2016_film)	http://www.imdb.com/title/tt3882082/	tt3882082	False	http://www.rottentomatoes.com/m/the_boy	False	http://www.metacritic.com/movie/the-boy	False	https://www.boxofficemojo.com/title/tt3882082/
Dirty Grandpa	https://en.wikipedia.org/wiki/Dirty_Grandpa	http://www.imdb.com/title/tt1860213/	tt1860213	False	http://www.rottentomatoes.com/m/dirty_grandpa	False	http://www.metacritic.com/movie/dirty-grandpa	False	https://www.boxofficemojo.com/title/tt1860213/
Monster Hunt	https://en.wikipedia.org/wiki/Monster_Hunt	http://www.imdb.com/title/tt3781476/	tt3781476	False	http://www.rottentomatoes.com/m/monster_hunt/	False	http://www.metacritic.com/movie/monster-hunt	False	https://www.boxofficemojo.com/title/tt3781476/
