Title	Wikipedia Link	IMDB Link	IMDB ID	Mismatched IMDB	Rotten Tomatoes Link	Mismatched Rotten Tomatoes	Metacritic Link	Mismatched Metacritic	Box Office Mojo Link
Insidious: The Last Key	https://en.wikipedia.org/wiki/Insidious:_The_Last_Key	http://www.imdb.com/title/tt5726086/	tt5726086	False	http://www.rottentomatoes.com/m/insidious_the_last_key	False	http://www.metacritic.com/movie/insidious-the-last-key	False	https://www.boxofficemojo.com/title/tt5726086/
The Strange Ones	https://en.wikipedia.org/wiki/The_Strange_Ones	http://www.imdb.com/title/tt6014904/	tt6014904	False	http://www.rottentomatoes.com/m/the_strange_ones_2018	False	http://www.metacritic.com/movie/the-strange-ones	False	https://www.boxofficemojo.com/title/tt6014904/
Stratton	https://en.wikipedia.org/wiki/Stratton_(film)	http://www.imdb.com/title/tt3567666/	tt3567666	False	http://www.rottentomatoes.com/m/stratton	False	http://www.metacritic.com/movie/stratton	False	https://www.boxofficemojo.com/title/tt3567666/
Sweet Country	https://en.wikipedia.org/wiki/Sweet_Country_(2017_film)	http://www.imdb.com/title/tt6958212/	tt6958212	False	http://www.rottentomatoes.com/m/sweet_country_2017	False	http://www.metacritic.com/movie/sweet-country	False	https://www.boxofficemojo.com/title/tt6958212/
The Commuter	https://en.wikipedia.org/wiki/The_Commuter_(film)	http://www.imdb.com/title/tt1590193/	tt1590193	False	http://www.rottentomatoes.com/m/the-commuter	False	http://www.metacritic.com/movie/the-commuter	False	https://www.boxofficemojo.com/title/tt1590193/
Proud Mary	https://en.wikipedia.org/wiki/Proud_Mary_(film)	http://www.imdb.com/title/tt6421110/	tt6421110	False	http://www.rottentomatoes.com/m/proud_mary	False	http://www.metacritic.com/movie/proud-mary	False	https://www.boxofficemojo.com/title/tt6421110/
Acts of Violence	https://en.wikipedia.org/wiki/Acts_of_Violence	http://www.imdb.com/title/tt6684714/	tt6684714	False	http://www.rottentomatoes.com/m/acts_of_violence_2018	False	http://www.metacritic.com/movie/acts-of-violence	False	https://www.boxofficemojo.com/title/tt6684714/
Freak Show	https://en.wikipedia.org/wiki/Freak_Show_(film)	http://www.imdb.com/title/tt5089534/	tt5089534	False	http://www.rottentomatoes.com/m/freak_show	False	http://www.metacritic.com/movie/freak-show	False	https://www.boxofficemojo.com/title/tt5089534/
Humor Me	https://en.wikipedia.org/wiki/Humor_Me_(film)	http://www.imdb.com/title/tt5658242/	tt5658242	False	http://www.rottentomatoes.com/m/humor_me/	False	http://www.metacritic.com/movie/humor-me	False	https://www.boxofficemojo.com/title/tt5658242/
Vazante	https://en.wikipedia.org/wiki/Vazante_(film)	http://www.imdb.com/title/tt4673790/	tt4673790	False	http://www.rottentomatoes.com/m/vazante	False	http://www.metacritic.com/movie/vazante	False	https://www.boxofficemojo.com/title/tt4673790/
Mary and the Witch's Flower	https://en.wikipedia.org/wiki/Mary_and_the_Witch%27s_Flower	http://www.imdb.com/title/tt6336356/	tt6336356	False	http://www.rottentomatoes.com/m/mary_and_the_witchs_flower	False	http://www.metacritic.com/movie/mary-and-the-witchs-flower	False	https://www.boxofficemojo.com/title/tt6336356/
12 Strong	https://en.wikipedia.org/wiki/12_Strong	http://www.imdb.com/title/tt1413492/	tt1413492	False	http://www.rottentomatoes.com/m/12_strong	False	http://www.metacritic.com/movie/12-strong	False	https://www.boxofficemojo.com/title/tt1413492/
Den of Thieves	https://en.wikipedia.org/wiki/Den_of_Thieves_(film)	http://www.imdb.com/title/tt1259528/	tt1259528	False	http://www.rottentomatoes.com/m/den_of_thieves	False	http://www.metacritic.com/movie/den-of-thieves	False	https://www.boxofficemojo.com/title/tt1259528/
Forever My Girl	https://en.wikipedia.org/wiki/Forever_My_Girl	http://www.imdb.com/title/tt4103724/	tt4103724	False	http://www.rottentomatoes.com/m/forever_my_girl	False	http://www.metacritic.com/movie/forever-my-girl	False	https://www.boxofficemojo.com/title/tt4103724/
Maze Runner: The Death Cure	https://en.wikipedia.org/wiki/Maze_Runner:_The_Death_Cure	http://www.imdb.com/title/tt4500922/	tt4500922	False	http://www.rottentomatoes.com/m/maze_runner_the_death_cure	False	http://www.metacritic.com/movie/maze-runner-the-death-cure	False	https://www.boxofficemojo.com/title/tt4500922/
The Insult	https://en.wikipedia.org/wiki/The_Insult_(film)	http://www.imdb.com/title/tt7048622/	tt7048622	False	http://www.rottentomatoes.com/m/the_insult	False	http://www.metacritic.com/movie/the-insult	False	https://www.boxofficemojo.com/title/tt7048622/
Please Stand By	https://en.wikipedia.org/wiki/Please_Stand_By	http://www.imdb.com/title/tt4652650/	tt4652650	False	http://www.rottentomatoes.com/m/please_stand_by_2018	False	http://www.metacritic.com/movie/please-stand-by	False	https://www.boxofficemojo.com/title/tt4652650/
Kickboxer: Retaliation	https://en.wikipedia.org/wiki/Kickboxer:_Retaliation	http://www.imdb.com/title/tt5208950/	tt5208950	False	http://www.rottentomatoes.com/m/kickboxer_retaliation	False	http://www.metacritic.com/movie/kickboxer-retaliation	False	https://www.boxofficemojo.com/title/tt5208950/
Winchester	https://en.wikipedia.org/wiki/Winchester_(film)	http://www.imdb.com/title/tt1072748/	tt1072748	False	http://www.rottentomatoes.com/m/Winchester	False	http://www.metacritic.com/movie/winchester	False	https://www.boxofficemojo.com/title/tt1072748/
A Fantastic Woman	https://en.wikipedia.org/wiki/A_Fantastic_Woman	http://www.imdb.com/title/tt5639354/	tt5639354	False	http://www.rottentomatoes.com/m/a_fantastic_woman	False	http://www.metacritic.com/movie/a-fantastic-woman	False	https://www.boxofficemojo.com/title/tt5639354/
Armed	https://en.wikipedia.org/wiki/Armed_(film)	http://www.imdb.com/title/tt4824316/	tt4824316	False	http://www.rottentomatoes.com/m/armed_2018	False	http://www.metacritic.com/movie/armed	False	https://www.boxofficemojo.com/title/tt4824316/
The Cloverfield Paradox	https://en.wikipedia.org/wiki/The_Cloverfield_Paradox	http://www.imdb.com/title/tt2548396/	tt2548396	False	http://www.rottentomatoes.com/m/the_cloverfield_paradox	False	http://www.metacritic.com/movie/the-cloverfield-paradox	False	https://www.boxofficemojo.com/title/tt2548396/
Peter Rabbit	https://en.wikipedia.org/wiki/Peter_Rabbit_(film)	http://www.imdb.com/title/tt5117670/	tt5117670	False	http://www.rottentomatoes.com/m/peter_rabbit_2018	False	http://www.metacritic.com/movie/peter-rabbit	False	https://www.boxofficemojo.com/title/tt5117670/
Fifty Shades Freed	https://en.wikipedia.org/wiki/Fifty_Shades_Freed_(film)	http://www.imdb.com/title/tt4477536/	tt4477536	False	http://www.rottentomatoes.com/m/fifty_shades_freed	False	http://www.metacritic.com/movie/fifty-shades-freed	False	https://www.boxofficemojo.com/title/tt4477536/
