Title	Wikipedia Link	IMDB Link	IMDB ID	Mismatched IMDB	Rotten Tomatoes Link	Mismatched Rotten Tomatoes	Metacritic Link	Mismatched Metacritic	Box Office Mojo Link
REC 4: Apocalypse	https://en.wikipedia.org/wiki/REC_4:_Apocalypse	http://www.imdb.com/title/tt1649443/	tt1649443	False	http://www.rottentomatoes.com/m/rec_4_apocalypse	False	http://www.metacritic.com/movie/rec-4-apocalypse	False	https://www.boxofficemojo.com/title/tt1649443/
The Woman in Black 2: Angel of Death	https://en.wikipedia.org/wiki/The_Woman_in_Black_2:_Angel_of_Death	http://www.imdb.com/title/tt2339741/	tt2339741	False	http://www.rottentomatoes.com/m/the_woman_in_black_angel_of_death	False	http://www.metacritic.com/movie/the-woman-in-black-angel-of-death	False	https://www.boxofficemojo.com/title/tt2339741/
20 Once Again	https://en.wikipedia.org/wiki/20_Once_Again	http://www.imdb.com/title/tt4344878/	tt4344878	False	http://www.rottentomatoes.com/m/20_once_again/?search=%2020%20Once%20Again	False	http://www.metacritic.com/movie/20-once-again	False	https://www.boxofficemojo.com/title/tt4344878/
Blackhat	https://en.wikipedia.org/wiki/Blackhat_(film)	http://www.imdb.com/title/tt2717822/	tt2717822	False	http://www.rottentomatoes.com/m/blackhat	False	http://www.metacritic.com/movie/blackhat	False	https://www.boxofficemojo.com/title/tt2717822/
Preservation	https://en.wikipedia.org/wiki/Preservation_(2014_film)	http://www.imdb.com/title/tt3138558/	tt3138558	False	http://www.rottentomatoes.com/m/preservation_2014	False	http://www.metacritic.com/movie/preservation	False	https://www.boxofficemojo.com/title/tt3138558/
The World Made Straight	https://en.wikipedia.org/wiki/The_World_Made_Straight#Film_adaptation	http://www.imdb.com/title/tt2420166/	tt2420166	False	http://www.rottentomatoes.com/m/the_world_made_straight_2015	False	http://www.metacritic.com/movie/the-world-made-straight	False	https://www.boxofficemojo.com/title/tt2420166/
Wild Card	https://en.wikipedia.org/wiki/Wild_Card_(2015_film)	http://www.imdb.com/title/tt2231253/	tt2231253	False	http://www.rottentomatoes.com/m/heat_2013	False	http://www.metacritic.com/movie/wild-card	False	https://www.boxofficemojo.com/title/tt2231253/
Spare Parts	https://en.wikipedia.org/wiki/Spare_Parts_(2015_film)	http://www.imdb.com/title/tt3233418/	tt3233418	False	http://www.rottentomatoes.com/m/spare_parts_2015	False	http://www.metacritic.com/movie/spare-parts	False	https://www.boxofficemojo.com/title/tt3233418/
Still Alice	https://en.wikipedia.org/wiki/Still_Alice	http://www.imdb.com/title/tt3316960/	tt3316960	False	http://www.rottentomatoes.com/m/still_alice	False	http://www.metacritic.com/movie/still-alice	False	https://www.boxofficemojo.com/title/tt3316960/
The Wedding Ringer	https://en.wikipedia.org/wiki/The_Wedding_Ringer	http://www.imdb.com/title/tt0884732/	tt0884732	False	http://www.rottentomatoes.com/m/the_wedding_ringer/	False	http://www.metacritic.com/movie/the-wedding-ringer	False	https://www.boxofficemojo.com/title/tt0884732/
