Title	Wikipedia Link	IMDB Link	IMDB ID	Mismatched IMDB	Rotten Tomatoes Link	Mismatched Rotten Tomatoes	Metacritic Link	Mismatched Metacritic	Box Office Mojo Link
A Dark Truth	https://en.wikipedia.org/wiki/A_Dark_Truth	http://www.imdb.com/title/tt2083379/	tt2083379	False	http://www.rottentomatoes.com/m/a_dark_truth/	False	http://www.metacritic.com/movie/a-dark-truth	False	https://www.boxofficemojo.com/title/tt2083379/
Texas Chainsaw 3D	https://en.wikipedia.org/wiki/Texas_Chainsaw_3D	http://www.imdb.com/title/tt1572315/	tt1572315	False	http://www.rottentomatoes.com/m/texas_chainsaw	False	http://www.metacritic.com/movie/texas-chainsaw-3d	False	https://www.boxofficemojo.com/title/tt1572315/
The Grandmaster	https://en.wikipedia.org/wiki/The_Grandmaster_(film)	http://www.imdb.com/title/tt1462900/	tt1462900	False	http://www.rottentomatoes.com/m/the_grandmaster	False	http://www.metacritic.com/movie/the-grandmaster	False	https://www.boxofficemojo.com/title/tt1462900/
The Baytown Outlaws	https://en.wikipedia.org/wiki/The_Baytown_Outlaws	http://www.imdb.com/title/tt1836944/	tt1836944	False	http://www.rottentomatoes.com/m/the_baytown_outlaws	False	http://www.metacritic.com/movie/the-baytown-outlaws	False	https://www.boxofficemojo.com/title/tt1836944/
Gangster Squad	https://en.wikipedia.org/wiki/Gangster_Squad_(film)	http://www.imdb.com/title/tt1321870/	tt1321870	False	http://www.rottentomatoes.com/m/gangster_squad_2012	False	http://www.metacritic.com/movie/gangster-squad	False	https://www.boxofficemojo.com/title/tt1321870/
A Haunted House	https://en.wikipedia.org/wiki/A_Haunted_House	http://www.imdb.com/title/tt2243537/	tt2243537	False	http://www.rottentomatoes.com/m/a_haunted_house	False	http://www.metacritic.com/movie/a-haunted-house	False	https://www.boxofficemojo.com/title/tt2243537/
Matru Ki Bijlee Ka Mandola	https://en.wikipedia.org/wiki/Matru_Ki_Bijlee_Ka_Mandola	http://www.imdb.com/title/tt2106537/	tt2106537	False	https://www.rottentomatoes.com/m/matru_ki_bijlee_ka_mandola	False	http://www.metacritic.com/movie/matru-ki-bijlee-ka-mandola	False	https://www.boxofficemojo.com/title/tt2106537/
Struck by Lightning	https://en.wikipedia.org/wiki/Struck_by_Lightning_(2012_film)	http://www.imdb.com/title/tt1791614/	tt1791614	False	http://www.rottentomatoes.com/m/struck_by_lightning_2012/	False	http://www.metacritic.com/movie/struck-by-lightning	False	https://www.boxofficemojo.com/title/tt1791614/
Hansel & Gretel: Witch Hunters	https://en.wikipedia.org/wiki/Hansel_%26_Gretel:_Witch_Hunters	http://www.imdb.com/title/tt1428538/	tt1428538	False	http://www.rottentomatoes.com/m/hansel_and_gretel_witch_hunters	False	http://www.metacritic.com/movie/hansel-and-gretel-witch-hunters	False	https://www.boxofficemojo.com/title/tt1428538/
Broken City	https://en.wikipedia.org/wiki/Broken_City	http://www.imdb.com/title/tt1235522/	tt1235522	False	http://www.rottentomatoes.com/m/broken_city/	False	http://www.metacritic.com/movie/broken-city	False	https://www.boxofficemojo.com/title/tt1235522/
The Last Stand	https://en.wikipedia.org/wiki/The_Last_Stand_(2013_film)	http://www.imdb.com/title/tt1549920/	tt1549920	False	http://www.rottentomatoes.com/m/last_stand_2013	False	http://www.metacritic.com/movie/the-last-stand	False	https://www.boxofficemojo.com/title/tt1549920/
Luv	https://en.wikipedia.org/wiki/LUV_(film)	http://www.imdb.com/title/tt1907707/	tt1907707	False	http://www.rottentomatoes.com/m/luv_2011	False	http://www.metacritic.com/movie/luv	False	https://www.boxofficemojo.com/title/tt1907707/
Mama	https://en.wikipedia.org/wiki/Mama_(2013_film)	http://www.imdb.com/title/tt2023587/	tt2023587	False	http://www.rottentomatoes.com/m/mama_2013	False	http://www.metacritic.com/movie/mama	False	https://www.boxofficemojo.com/title/tt2023587/
Officer Down	https://en.wikipedia.org/wiki/Officer_Down	http://www.imdb.com/title/tt1925479/	tt1925479	False	http://www.rottentomatoes.com/m/officer_down	False	http://www.metacritic.com/movie/officer-down	False	https://www.boxofficemojo.com/title/tt1925479/
Happy People: A Year in the Taiga	https://en.wikipedia.org/wiki/Happy_People:_A_Year_in_the_Taiga	http://www.imdb.com/title/tt1683876/	tt1683876	False	http://www.rottentomatoes.com/m/happy_people_a_year_in_the_taiga/	False	http://www.metacritic.com/movie/happy-people-a-year-in-the-taiga	False	https://www.boxofficemojo.com/title/tt1683876/
John Dies at the End	https://en.wikipedia.org/wiki/John_Dies_at_the_End_(film)	http://www.imdb.com/title/tt1783732/	tt1783732	False	http://www.rottentomatoes.com/m/john_dies_at_the_end	False	http://www.metacritic.com/movie/john-dies-at-the-end	False	https://www.boxofficemojo.com/title/tt1783732/
