Title	Wikipedia Link	IMDB Link	IMDB ID	Mismatched IMDB	Rotten Tomatoes Link	Mismatched Rotten Tomatoes	Metacritic Link	Mismatched Metacritic	Box Office Mojo Link
The Best Offer	https://en.wikipedia.org/wiki/The_Best_Offer	http://www.imdb.com/title/tt1924396/	tt1924396	False	http://www.rottentomatoes.com/m/the_best_offer	False	http://www.metacritic.com/movie/the-best-offer	False	https://www.boxofficemojo.com/title/tt1924396/
Jamesy Boy	https://en.wikipedia.org/wiki/Jamesy_Boy	http://www.imdb.com/title/tt1673734/	tt1673734	False	http://www.rottentomatoes.com/m/jamesy_boy	False	http://www.metacritic.com/movie/jamesy-boy	False	https://www.boxofficemojo.com/title/tt1673734/
Open Grave	https://en.wikipedia.org/wiki/Open_Grave	http://www.imdb.com/title/tt2071550/	tt2071550	False	http://www.rottentomatoes.com/m/open_grave	False	http://www.metacritic.com/movie/open-grave	False	https://www.boxofficemojo.com/title/tt2071550/
Paranormal Activity: The Marked Ones	https://en.wikipedia.org/wiki/Paranormal_Activity:_The_Marked_Ones	http://www.imdb.com/title/tt2473682/	tt2473682	False	http://www.rottentomatoes.com/m/paranormal_activity_the_marked_ones	False	http://www.metacritic.com/movie/paranormal-activity-the-marked-ones	False	https://www.boxofficemojo.com/title/tt2473682/
Yves Saint Laurent	https://en.wikipedia.org/wiki/Yves_Saint_Laurent_(film)	http://www.imdb.com/title/tt2707858/	tt2707858	False	http://www.rottentomatoes.com/m/yves_saint_laurent	False	http://www.metacritic.com/movie/yves-saint-laurent	False	https://www.boxofficemojo.com/title/tt2707858/
The Adventurer: The Curse of the Midas Box	https://en.wikipedia.org/wiki/The_Adventurer:_The_Curse_of_the_Midas_Box	http://www.imdb.com/title/tt1376213/	tt1376213	False	http://www.rottentomatoes.com/m/the_adventurer_the_curse_of_the_midas_box	False	http://www.metacritic.com/movie/the-adventurer-the-curse-of-the-midas-box	False	https://www.boxofficemojo.com/title/tt1376213/
Dumbbells	https://en.wikipedia.org/wiki/Dumbbells_(film)	http://www.imdb.com/title/tt1978428/	tt1978428	False	http://www.rottentomatoes.com/m/dumbbells	False	http://www.metacritic.com/movie/dumbbells	False	https://www.boxofficemojo.com/title/tt1978428/
The Legend of Hercules	https://en.wikipedia.org/wiki/The_Legend_of_Hercules	http://www.imdb.com/title/tt1043726/	tt1043726	False	http://www.rottentomatoes.com/m/the_legend_of_hercules	False	http://www.metacritic.com/movie/the-legend-of-hercules	False	https://www.boxofficemojo.com/title/tt1043726/
Raze	https://en.wikipedia.org/wiki/Raze_(film)	http://www.imdb.com/title/tt2111392/	tt2111392	False	https://www.rottentomatoes.com/m/raze	False	http://www.metacritic.com/movie/raze	False	https://www.boxofficemojo.com/title/tt2111392/
The Nut Job	https://en.wikipedia.org/wiki/The_Nut_Job	http://www.imdb.com/title/tt1821658/	tt1821658	False	http://www.rottentomatoes.com/m/the_nut_job	False	http://www.metacritic.com/movie/the-nut-job	False	https://www.boxofficemojo.com/title/tt1821658/
Jack Ryan: Shadow Recruit	https://en.wikipedia.org/wiki/Jack_Ryan:_Shadow_Recruit	http://www.imdb.com/title/tt1205537/	tt1205537	False	http://www.rottentomatoes.com/m/jack_ryan_shadow_recruit/	False	http://www.metacritic.com/movie/jack-ryan-shadow-recruit	False	https://www.boxofficemojo.com/title/tt1205537/
Lilting	https://en.wikipedia.org/wiki/Lilting_(film)	http://www.imdb.com/title/tt2560102/	tt2560102	False	http://www.rottentomatoes.com/m/lilting	False	http://www.metacritic.com/movie/lilting	False	https://www.boxofficemojo.com/title/tt2560102/
Whiplash	https://en.wikipedia.org/wiki/Whiplash_(2014_film)	http://www.imdb.com/title/tt2582802/	tt2582802	False	http://www.rottentomatoes.com/m/whiplash_2014	False	http://www.metacritic.com/movie/whiplash	False	https://www.boxofficemojo.com/title/tt2582802/
Back in the Day	https://en.wikipedia.org/wiki/Back_in_the_Day_(2014_film)	http://www.imdb.com/title/tt2246887/	tt2246887	False	http://www.rottentomatoes.com/m/back_in_the_day/	False	http://www.metacritic.com/movie/back-in-the-day/critic-reviews	False	https://www.boxofficemojo.com/title/tt2246887/
Big Bad Wolves	https://en.wikipedia.org/wiki/Big_Bad_Wolves	http://www.imdb.com/title/tt2309224/	tt2309224	False	http://www.rottentomatoes.com/m/big_bad_wolves_2013	False	http://www.metacritic.com/movie/big-bad-wolves	False	https://www.boxofficemojo.com/title/tt2309224/
Camp X-Ray	https://en.wikipedia.org/wiki/Camp_X-Ray_(film)	http://www.imdb.com/title/tt2994190/	tt2994190	False	http://www.rottentomatoes.com/m/camp_x_ray	False	http://www.metacritic.com/movie/camp-x-ray	False	https://www.boxofficemojo.com/title/tt2994190/
