Title	Wikipedia Link	IMDB Link	IMDB ID	Mismatched IMDB	Rotten Tomatoes Link	Mismatched Rotten Tomatoes	Metacritic Link	Mismatched Metacritic	Box Office Mojo Link
Underworld: Blood Wars	https://en.wikipedia.org/wiki/Underworld:_Blood_Wars	http://www.imdb.com/title/tt3717252/	tt3717252	False	http://www.rottentomatoes.com/m/underworld_blood_wars_2017	False	http://www.metacritic.com/movie/underworld-blood-wars	False	https://www.boxofficemojo.com/title/tt3717252/
Arsenal	https://en.wikipedia.org/wiki/Arsenal_(2017_film)	http://www.imdb.com/title/tt5580536/	tt5580536	False	http://www.rottentomatoes.com/m/arsenal_2017	False	http://www.metacritic.com/movie/arsenal	False	https://www.boxofficemojo.com/title/tt5580536/
Between Us	https://en.wikipedia.org/wiki/Between_Us_(2016_film)	http://www.imdb.com/title/tt3886604/	tt3886604	False	https://www.rottentomatoes.com/m/between_us_2017	False	http://www.metacritic.com/movie/between-us	False	https://www.boxofficemojo.com/title/tt3886604/
Railroad Tigers	https://en.wikipedia.org/wiki/Railroad_Tigers	http://www.imdb.com/title/tt4687848/	tt4687848	False	http://www.rottentomatoes.com/m/railroad_tigers_2017	False	http://www.metacritic.com/movie/railroad-tigers	False	https://www.boxofficemojo.com/title/tt4687848/
The Bye Bye Man	https://en.wikipedia.org/wiki/The_Bye_Bye_Man	http://www.imdb.com/title/tt4030600/	tt4030600	False	http://www.rottentomatoes.com/m/the_bye_bye_man	False	http://www.metacritic.com/movie/the-bye-bye-man	False	https://www.boxofficemojo.com/title/tt4030600/
Monster Trucks	https://en.wikipedia.org/wiki/Monster_Trucks_(film)	http://www.imdb.com/title/tt3095734/	tt3095734	False	http://www.rottentomatoes.com/m/monster_trucks_2015	False	http://www.metacritic.com/movie/monster-trucks	False	https://www.boxofficemojo.com/title/tt3095734/
Sleepless	https://en.wikipedia.org/wiki/Sleepless_(2017_film)	http://www.imdb.com/title/tt2072233/	tt2072233	False	http://www.rottentomatoes.com/m/sleepless_2017	False	http://www.metacritic.com/movie/sleepless	False	https://www.boxofficemojo.com/title/tt2072233/
100 Streets	https://en.wikipedia.org/wiki/100_Streets	http://www.imdb.com/title/tt2990126/	tt2990126	False	http://www.rottentomatoes.com/m/100_streets	False	http://www.metacritic.com/movie/100-streets	False	https://www.boxofficemojo.com/title/tt2990126/
Alone in Berlin	https://en.wikipedia.org/wiki/Alone_in_Berlin_(film)	http://www.imdb.com/title/tt3026488/	tt3026488	False	http://www.rottentomatoes.com/m/alone_in_berlin	False	http://www.metacritic.com/movie/alone-in-berlin/critic-reviews	False	https://www.boxofficemojo.com/title/tt3026488/
The Book of Love	https://en.wikipedia.org/wiki/The_Book_of_Love_(film)	http://www.imdb.com/title/tt1330018/	tt1330018	False	http://www.rottentomatoes.com/m/the_book_of_love	False	http://www.metacritic.com/movie/the-book-of-love	False	https://www.boxofficemojo.com/title/tt1330018/
Split	https://en.wikipedia.org/wiki/Split_(2016_American_film)	http://www.imdb.com/title/tt4972582/	tt4972582	False	http://www.rottentomatoes.com/m/split_2017	False	http://www.metacritic.com/movie/split	False	https://www.boxofficemojo.com/title/tt4972582/
XXX: Return of Xander Cage	https://en.wikipedia.org/wiki/XXX:_Return_of_Xander_Cage	http://www.imdb.com/title/tt1293847/	tt1293847	False	http://www.rottentomatoes.com/m/xxx_the_return_of_xander_cage	False	http://www.metacritic.com/movie/xxx-return-of-xander-cage	False	https://www.boxofficemojo.com/title/tt1293847/
The Big Sick	https://en.wikipedia.org/wiki/The_Big_Sick	http://www.imdb.com/title/tt5462602/	tt5462602	False	http://www.rottentomatoes.com/m/the_big_sick/	False	http://www.metacritic.com/movie/the-big-sick	False	https://www.boxofficemojo.com/title/tt5462602/
Detour	https://en.wikipedia.org/wiki/Detour_(2016_film)	http://www.imdb.com/title/tt4372390/	tt4372390	False	http://www.rottentomatoes.com/m/detour_2017	False	http://www.metacritic.com/movie/detour-2017	False	https://www.boxofficemojo.com/title/tt4372390/
The Red Turtle	https://en.wikipedia.org/wiki/The_Red_Turtle	http://www.imdb.com/title/tt3666024/	tt3666024	False	http://www.rottentomatoes.com/m/the_red_turtle	False	http://www.metacritic.com/movie/the-red-turtle	False	https://www.boxofficemojo.com/title/tt3666024/
The Resurrection of Gavin Stone	https://en.wikipedia.org/wiki/The_Resurrection_of_Gavin_Stone	http://www.imdb.com/title/tt4902904/	tt4902904	False	http://www.rottentomatoes.com/m/the_resurrection_of_gavin_stone	False	http://www.metacritic.com/movie/the-resurrection-of-gavin-stone	False	https://www.boxofficemojo.com/title/tt4902904/
Trespass Against Us	https://en.wikipedia.org/wiki/Trespass_Against_Us	http://www.imdb.com/title/tt3305308/	tt3305308	False	http://www.rottentomatoes.com/m/trespass_against_us_2016/	False	http://www.metacritic.com/movie/trespass-against-us	False	https://www.boxofficemojo.com/title/tt3305308/
Sophie and the Rising Sun	https://en.wikipedia.org/wiki/Sophie_and_the_Rising_Sun_(film)	http://www.imdb.com/title/tt4532818/	tt4532818	False	http://www.rottentomatoes.com/m/sophie_and_the_rising_sun	False	http://www.metacritic.com/movie/sophie-and-the-rising-sun	False	https://www.boxofficemojo.com/title/tt4532818/
A Dog's Purpose	https://en.wikipedia.org/wiki/A_Dog%27s_Purpose_(film)	http://www.imdb.com/title/tt1753383/	tt1753383	False	http://www.rottentomatoes.com/m/a_dogs_purpose	False	http://www.metacritic.com/movie/a-dogs-purpose	False	https://www.boxofficemojo.com/title/tt1753383/
Resident Evil: The Final Chapter	https://en.wikipedia.org/wiki/Resident_Evil:_The_Final_Chapter	http://www.imdb.com/title/tt2592614/	tt2592614	False	http://www.rottentomatoes.com/m/resident_evil_the_final_chapter	False	http://www.metacritic.com/movie/resident-evil-the-final-chapter	False	https://www.boxofficemojo.com/title/tt2592614/
I Am Michael	https://en.wikipedia.org/wiki/I_Am_Michael	http://www.imdb.com/title/tt3713030/	tt3713030	False	http://www.rottentomatoes.com/m/i_am_michael	False	http://www.metacritic.com/movie/i-am-michael	False	https://www.boxofficemojo.com/title/tt3713030/
iBoy	https://en.wikipedia.org/wiki/IBoy	http://www.imdb.com/title/tt3171832/	tt3171832	False	http://www.rottentomatoes.com/m/iboy/	False	http://www.metacritic.com/movie/iboy	False	https://www.boxofficemojo.com/title/tt3171832/
